record_year,record_month,avg_carbon_intensity,avg_cfe_percentage,month_timestamp
2021,1,291.1847178961641,43.53934137795561,2021-01-01T00:00:00.000Z
2021,2,270.8513247399103,48.66818449610756,2021-02-01T00:00:00.000Z
2021,3,268.7851217536516,47.38584678403793,2021-03-01T00:00:00.000Z
2021,4,281.8979860517714,45.05993056562212,2021-04-01T00:00:00.000Z
2021,5,217.94821263385074,58.26255379440964,2021-05-01T00:00:00.000Z
2021,6,245.7790560828315,53.06840288374159,2021-06-01T00:00:00.000Z
2021,7,255.25758050077704,50.29895158480572,2021-07-01T00:00:00.000Z
2021,8,248.66248641475553,52.67657257920952,2021-08-01T00:00:00.000Z
2021,9,308.954125128852,41.64045834276411,2021-09-01T00:00:00.000Z
2021,10,296.7977959417528,43.954744679953464,2021-10-01T00:00:00.000Z
2021,11,346.7285132302178,33.07668060196771,2021-11-01T00:00:00.000Z
2021,12,329.303508122762,37.86881719866106,2021-12-01T00:00:00.000Z
2022,1,326.94787593554423,36.603682807696764,2022-01-01T00:00:00.000Z
2022,2,330.4898960022699,38.9805952452478,2022-02-01T00:00:00.000Z
2022,3,347.3590725519324,35.82221772337473,2022-03-01T00:00:00.000Z
2022,4,286.8294442176819,46.88268055121104,2022-04-01T00:00:00.000Z
2022,5,278.9057925029467,49.765564498081005,2022-05-01T00:00:00.000Z
2022,6,302.6110416836209,44.93372222847409,2022-06-01T00:00:00.000Z
2022,7,320.50360214069326,42.20919355269401,2022-07-01T00:00:00.000Z
2022,8,320.9273383027764,40.83943547228331,2022-08-01T00:00:00.000Z
2022,9,328.9405973222521,41.09051389959124,2022-09-01T00:00:00.000Z
2022,10,335.78474413964057,39.16716400013175,2022-10-01T00:00:00.000Z
2022,11,318.86701384650337,42.9276389280955,2022-11-01T00:00:00.000Z
2022,12,360.5199997604534,35.83831991687898,2022-12-01T00:00:00.000Z
2023,1,325.06354879563855,43.146290281767484,2023-01-01T00:00:00.000Z
2023,2,326.3639579727536,41.7236160777864,2023-02-01T00:00:00.000Z
2023,3,300.2727551819176,46.18759403946579,2023-03-01T00:00:00.000Z
2023,4,219.66870835622152,54.27588880856832,2023-04-01T00:00:00.000Z
2023,5,203.49448908528973,59.877002639155236,2023-05-01T00:00:00.000Z
2023,6,238.3699028544956,55.66037503348456,2023-06-01T00:00:00.000Z
2023,7,248.73204297916863,50.74696233452007,2023-07-01T00:00:00.000Z
2023,8,230.27612922012165,54.5571102890917,2023-08-01T00:00:00.000Z
2023,9,250.62322221332127,50.49398616419898,2023-09-01T00:00:00.000Z
2023,10,234.66126346588135,52.507970371553974,2023-10-01T00:00:00.000Z
2023,11,210.0260970433553,58.736986173523796,2023-11-01T00:00:00.000Z
2023,12,238.6377016088014,50.69586023463998,2023-12-01T00:00:00.000Z
2024,1,232.03063169089697,52.22419353197979,2024-01-01T00:00:00.000Z
2024,2,225.6673997791334,54.523318926493324,2024-02-01T00:00:00.000Z
2024,3,192.85387103788315,60.919556299845375,2024-03-01T00:00:00.000Z
2024,4,170.67088894314236,66.25395845307244,2024-04-01T00:00:00.000Z
2024,5,158.24088668310515,68.98973102467035,2024-05-01T00:00:00.000Z
2024,6,171.9787917084164,65.48779166009692,2024-06-01T00:00:00.000Z
2024,7,200.59599496984995,57.93909945026521,2024-07-01T00:00:00.000Z
2024,8,224.4205375896987,52.279959658140776,2024-08-01T00:00:00.000Z
2024,9,218.13936148749457,54.22279164261288,2024-09-01T00:00:00.000Z
2024,10,206.33559158284177,58.53038978063932,2024-10-01T00:00:00.000Z
2024,11,249.97084723578558,48.306319403648374,2024-11-01T00:00:00.000Z
2024,12,237.2757798881941,49.46375008295941,2024-12-01T00:00:00.000Z
