month,day,hour,carbon_intensity,cfe_percentage,Country,year
1,1,0,271.27,51.65,Italy,2022
1,1,1,275.03,51.65,Italy,2022
1,1,2,272.27,52.4,Italy,2022
1,1,3,262.04,54.48,Italy,2022
1,1,4,264.5,54.02,Italy,2022
1,1,5,264.4,54.02,Italy,2022
1,1,6,258.98,55.48,Italy,2022
1,1,7,234.12,59.88,Italy,2022
1,1,8,213.87,63.36,Italy,2022
1,1,9,205.3,64.1,Italy,2022
1,1,10,208.98,62.02,Italy,2022
1,1,11,210.42,62.32,Italy,2022
1,1,12,208.97,62.36,Italy,2022
1,1,13,207.0,63.3,Italy,2022
1,1,14,219.79,60.42,Italy,2022
1,1,15,240.43,55.8,Italy,2022
1,1,16,254.46,55.26,Italy,2022
1,1,17,265.92,54.34,Italy,2022
1,1,18,274.43,54.03,Italy,2022
1,1,19,279.73,52.52,Italy,2022
1,1,20,279.75,50.5,Italy,2022
1,1,21,278.58,48.5,Italy,2022
1,1,22,275.12,48.98,Italy,2022
1,1,23,259.28,52.99,Italy,2022
1,2,0,269.55,51.6,Italy,2022
1,2,1,275.46,50.25,Italy,2022
1,2,2,278.8,49.56,Italy,2022
1,2,3,281.53,48.57,Italy,2022
1,2,4,282.96,48.39,Italy,2022
1,2,5,278.26,48.79,Italy,2022
1,2,6,275.79,49.59,Italy,2022
1,2,7,260.98,53.14,Italy,2022
1,2,8,251.0,54.76,Italy,2022
1,2,9,241.85,55.84,Italy,2022
1,2,10,235.51,56.2,Italy,2022
1,2,11,232.7,56.93,Italy,2022
1,2,12,236.74,55.88,Italy,2022
1,2,13,239.41,55.88,Italy,2022
1,2,14,246.97,53.73,Italy,2022
1,2,15,251.66,53.2,Italy,2022
1,2,16,258.06,55.14,Italy,2022
1,2,17,261.87,54.07,Italy,2022
1,2,18,264.28,53.67,Italy,2022
1,2,19,260.4,53.83,Italy,2022
1,2,20,257.55,51.49,Italy,2022
1,2,21,249.29,54.14,Italy,2022
1,2,22,242.2,56.06,Italy,2022
1,2,23,246.04,55.43,Italy,2022
1,3,0,257.08,53.49,Italy,2022
1,3,1,258.42,53.03,Italy,2022
1,3,2,257.56,53.53,Italy,2022
1,3,3,261.27,52.89,Italy,2022
1,3,4,262.06,53.05,Italy,2022
1,3,5,277.87,48.63,Italy,2022
1,3,6,286.67,46.04,Italy,2022
1,3,7,283.99,46.91,Italy,2022
1,3,8,278.95,47.68,Italy,2022
1,3,9,274.2,48.55,Italy,2022
1,3,10,273.19,48.3,Italy,2022
1,3,11,277.34,47.14,Italy,2022
1,3,12,274.16,47.71,Italy,2022
1,3,13,280.99,46.45,Italy,2022
1,3,14,290.12,45.31,Italy,2022
1,3,15,300.28,42.79,Italy,2022
1,3,16,293.17,44.28,Italy,2022
1,3,17,293.45,44.71,Italy,2022
1,3,18,302.31,42.74,Italy,2022
1,3,19,315.42,40.77,Italy,2022
1,3,20,310.22,42.74,Italy,2022
1,3,21,309.14,42.64,Italy,2022
1,3,22,298.3,45.37,Italy,2022
1,3,23,286.33,48.97,Italy,2022
1,4,0,277.68,51.34,Italy,2022
1,4,1,280.6,50.18,Italy,2022
1,4,2,282.23,49.49,Italy,2022
1,4,3,279.64,49.73,Italy,2022
1,4,4,279.31,49.31,Italy,2022
1,4,5,305.75,42.69,Italy,2022
1,4,6,314.3,40.34,Italy,2022
1,4,7,306.79,42.2,Italy,2022
1,4,8,295.4,43.68,Italy,2022
1,4,9,282.63,45.7,Italy,2022
1,4,10,282.23,46.72,Italy,2022
1,4,11,286.0,46.48,Italy,2022
1,4,12,285.56,46.64,Italy,2022
1,4,13,290.99,46.17,Italy,2022
1,4,14,296.7,44.12,Italy,2022
1,4,15,300.27,41.77,Italy,2022
1,4,16,289.94,44.33,Italy,2022
1,4,17,292.4,44.17,Italy,2022
1,4,18,299.59,42.75,Italy,2022
1,4,19,309.11,41.38,Italy,2022
1,4,20,307.41,42.51,Italy,2022
1,4,21,304.79,44.02,Italy,2022
1,4,22,273.66,50.36,Italy,2022
1,4,23,261.56,52.93,Italy,2022
1,5,0,256.83,53.35,Italy,2022
1,5,1,258.97,52.87,Italy,2022
1,5,2,256.13,53.95,Italy,2022
1,5,3,258.27,53.63,Italy,2022
1,5,4,275.25,50.79,Italy,2022
1,5,5,275.11,50.66,Italy,2022
1,5,6,288.9,46.55,Italy,2022
1,5,7,279.15,48.36,Italy,2022
1,5,8,272.0,49.83,Italy,2022
1,5,9,261.69,50.81,Italy,2022
1,5,10,257.52,50.34,Italy,2022
1,5,11,261.62,49.33,Italy,2022
1,5,12,256.93,50.58,Italy,2022
1,5,13,267.21,48.7,Italy,2022
1,5,14,272.84,48.43,Italy,2022
1,5,15,279.39,47.32,Italy,2022
1,5,16,276.99,47.63,Italy,2022
1,5,17,277.0,47.5,Italy,2022
1,5,18,277.68,47.37,Italy,2022
1,5,19,291.96,44.05,Italy,2022
1,5,20,286.15,45.27,Italy,2022
1,5,21,297.23,43.2,Italy,2022
1,5,22,315.07,39.17,Italy,2022
1,5,23,302.03,42.7,Italy,2022
1,6,0,303.23,43.39,Italy,2022
1,6,1,301.97,44.91,Italy,2022
1,6,2,301.0,46.01,Italy,2022
1,6,3,304.96,46.15,Italy,2022
1,6,4,330.99,38.26,Italy,2022
1,6,5,330.11,38.8,Italy,2022
1,6,6,339.68,36.2,Italy,2022
1,6,7,328.62,37.94,Italy,2022
1,6,8,308.92,42.3,Italy,2022
1,6,9,300.35,43.68,Italy,2022
1,6,10,300.11,41.98,Italy,2022
1,6,11,304.76,40.5,Italy,2022
1,6,12,309.07,39.8,Italy,2022
1,6,13,322.99,36.91,Italy,2022
1,6,14,350.8,30.72,Italy,2022
1,6,15,372.2,26.87,Italy,2022
1,6,16,344.3,32.61,Italy,2022
1,6,17,324.85,36.31,Italy,2022
1,6,18,328.86,35.93,Italy,2022
1,6,19,343.84,32.37,Italy,2022
1,6,20,344.7,32.67,Italy,2022
1,6,21,336.52,35.52,Italy,2022
1,6,22,337.44,35.64,Italy,2022
1,6,23,325.42,38.59,Italy,2022
1,7,0,316.93,40.43,Italy,2022
1,7,1,311.28,41.58,Italy,2022
1,7,2,310.35,42.17,Italy,2022
1,7,3,298.93,44.59,Italy,2022
1,7,4,292.95,45.49,Italy,2022
1,7,5,298.43,43.81,Italy,2022
1,7,6,309.75,39.92,Italy,2022
1,7,7,295.76,43.35,Italy,2022
1,7,8,281.21,45.88,Italy,2022
1,7,9,267.74,47.72,Italy,2022
1,7,10,264.72,47.99,Italy,2022
1,7,11,265.68,47.38,Italy,2022
1,7,12,261.98,48.89,Italy,2022
1,7,13,278.74,45.47,Italy,2022
1,7,14,296.11,41.55,Italy,2022
1,7,15,307.41,38.39,Italy,2022
1,7,16,292.86,42.0,Italy,2022
1,7,17,292.76,42.73,Italy,2022
1,7,18,297.96,42.47,Italy,2022
1,7,19,310.49,39.6,Italy,2022
1,7,20,322.16,37.55,Italy,2022
1,7,21,320.6,38.45,Italy,2022
1,7,22,322.24,38.77,Italy,2022
1,7,23,305.46,44.26,Italy,2022
1,8,0,311.62,43.28,Italy,2022
1,8,1,307.4,45.9,Italy,2022
1,8,2,309.15,45.88,Italy,2022
1,8,3,304.23,46.09,Italy,2022
1,8,4,300.11,46.02,Italy,2022
1,8,5,297.77,45.68,Italy,2022
1,8,6,305.84,43.47,Italy,2022
1,8,7,293.89,46.24,Italy,2022
1,8,8,277.66,48.91,Italy,2022
1,8,9,259.6,51.95,Italy,2022
1,8,10,241.99,53.68,Italy,2022
1,8,11,251.66,51.82,Italy,2022
1,8,12,250.47,52.43,Italy,2022
1,8,13,259.37,50.93,Italy,2022
1,8,14,284.61,45.22,Italy,2022
1,8,15,303.18,41.74,Italy,2022
1,8,16,293.74,43.19,Italy,2022
1,8,17,288.58,44.05,Italy,2022
1,8,18,286.71,44.63,Italy,2022
1,8,19,297.23,42.54,Italy,2022
1,8,20,304.79,41.01,Italy,2022
1,8,21,306.87,40.24,Italy,2022
1,8,22,299.84,42.89,Italy,2022
1,8,23,292.24,44.36,Italy,2022
1,9,0,285.67,45.9,Italy,2022
1,9,1,280.48,47.39,Italy,2022
1,9,2,278.56,47.81,Italy,2022
1,9,3,284.61,46.78,Italy,2022
1,9,4,285.34,46.81,Italy,2022
1,9,5,284.54,47.27,Italy,2022
1,9,6,269.76,50.02,Italy,2022
1,9,7,259.74,52.99,Italy,2022
1,9,8,257.76,52.52,Italy,2022
1,9,9,254.8,52.64,Italy,2022
1,9,10,241.65,55.03,Italy,2022
1,9,11,246.73,54.01,Italy,2022
1,9,12,254.57,51.73,Italy,2022
1,9,13,271.52,49.88,Italy,2022
1,9,14,290.68,47.02,Italy,2022
1,9,15,299.15,44.67,Italy,2022
1,9,16,293.31,44.76,Italy,2022
1,9,17,287.31,45.91,Italy,2022
1,9,18,288.37,45.73,Italy,2022
1,9,19,293.35,44.77,Italy,2022
1,9,20,299.46,43.06,Italy,2022
1,9,21,295.39,43.76,Italy,2022
1,9,22,293.6,43.54,Italy,2022
1,9,23,284.21,46.44,Italy,2022
1,10,0,291.57,45.29,Italy,2022
1,10,1,304.12,41.91,Italy,2022
1,10,2,295.71,44.62,Italy,2022
1,10,3,287.4,45.72,Italy,2022
